Sigla,Código,Município,Domicílios - com água encanada - pessoas (2000),Domicílios - com energia elétrica - pessoas (2000),Domicílios - com telefone - pessoas (2000),Domicílios - com carro - pessoas (2000),Domicílios - com computador - pessoas (2000),Domícilios - número (2000),
PI,2202091,Caldeirão Grande do Piauí,22.578,35.505,2.802,6.16,0.141,1252,
PI,2202109,Campinas do Piauí,33.153,43.503,4.833,6.707,0.277,1296,
PI,2202117,Campo Alegre do Fidalgo,9.829,21.821,1.027,8.193,0.591,1003,
PI,2202133,Campo Grande do Piauí,2.573,42.333,0.863,11.277,0.364,1185,
PI,2202174,Campo Largo do Piauí,14.691,38.308,1.397,1.653,0.82,1204,
PI,2202208,Campo Maior,61.768,83.083,12.454,10.021,1.483,10664,
PI,2202251,Canavieira,28.836,68.908,5.488,4.912,0.195,962,
PI,2202307,Canto do Buriti,50.931,61.204,10.042,12.153,0.063,4598,
PI,2202406,Capitão de Campos,27.458,65.551,3.55,6.623,0.422,2368,
PI,2202455,Capitão Gervásio Oliveira,6.383,19.432,0.596,7.001,0.052,809,
PI,2202505,Caracol,15.854,50.963,5.959,7.011,1.795,1816,
PI,2202539,Caraúbas do Piauí,9.429,31.562,0.347,2.695,0.054,1054,
PI,2202554,Caridade do Piauí,0.611,33.285,0.747,9.059,0.062,826,
PI,2202604,Castelo do Piauí,37.838,64.6,8.008,8.213,0.525,4190,
PI,2202653,Caxingó,8.841,44.519,0.499,3.106,0.079,839,
PI,2202703,Cocal,25.531,54.755,4.412,8.572,0.201,5265,
PI,2202711,Cocal de Telha,23.694,61.639,1.679,6.013,0.446,1072,
PI,2202729,Cocal dos Alves,17.27,53.096,0.517,3.889,0.106,1191,
PI,2202737,Coivaras,26.797,63.647,4.088,6.099,0.051,767,
PI,2202752,Colônia do Gurguéia,56.738,91.393,12.363,10.931,0.322,1133,
PI,2202778,Colônia do Piauí,30.523,60.109,3.106,3.402,0.253,1627,
PI,2202802,Conceição do Canindé,47.97,57.695,5.174,11.3,0.403,1189,
PI,2202851,Coronel José Dias,1.935,35.739,4.83,8.045,0.757,1088,
PI,2202901,Corrente,43.702,67.19,15.236,13.755,2.299,5290,
PI,2203008,Cristalândia do Piauí,23.333,46.058,6.257,8.132,0.496,1432,
PI,2203107,Cristino Castro,52.521,78.096,9.326,14.303,0.42,2038,
PI,2203206,Curimatá,43.387,56.278,7.753,11.597,1.863,2215,
PI,2203230,Currais,8.81,40.558,1.314,6.307,0.067,875,
PI,2203255,Curralinhos,8.971,60.202,0.694,3.786,0.052,839,
PI,2203271,Curral Novo do Piauí,0.25,26.951,0.972,5.112,0.557,820,
PI,2203305,Demerval Lobão,42.246,87.525,5.815,7.179,1.046,3042,
PI,2203354,Dirceu Arcoverde,23.303,35.122,6.769,9.882,0.64,1439,
PI,2203404,Dom Expedito Lopes,79.769,91.658,10.763,11.855,0.966,1483,
PI,2203420,Domingos Mourão,28.842,42.891,3.884,5.81,0.07,905,
PI,2203453,Dom Inocêncio,3.765,17.432,2.893,4.859,0.069,2046,
PI,2203503,Elesbão Veloso,50.236,75.595,4.907,7.426,0.172,3830,
PI,2203602,Eliseu Martins,66.569,85.493,14.199,7.652,1.522,1031,
PI,2203701,Esperantina,43.356,62.679,6.777,7.394,1.061,7868,
PI,2203750,Fartura do Piauí,6.537,32.177,4.135,5.762,0.805,1028,
PI,2203800,Flores do Piauí,45.811,58.727,5.88,8.346,0.144,1102,
PI,2203859,Floresta do Piauí,22.186,35.346,0.766,6.026,0.096,613,
PI,2203909,Floriano,70.714,88.926,31.077,19.541,4.03,13367,
PI,2204006,Francinópolis,37.021,76.794,3.168,6.734,0.066,1383,
PI,2204105,Francisco Ayres,37.787,71.113,5.332,4.103,0.294,1231,
PI,2204154,Francisco Macedo,5.657,38.462,1.055,7.52,0.11,548,
PI,2204204,Francisco Santos,40.808,66.496,5.354,13.494,1.517,1771,
PI,2204303,Fronteiras,48.84,64.105,8.152,13.958,1.595,2433,
PI,2204352,Geminiano,39.134,67.328,1.651,6.591,0.155,1160,
PI,2204402,Gilbués,32.054,48.289,8.64,7.705,0.946,2153,
PI,2204501,Guadalupe,55.941,92.153,15.886,15.409,0.796,2330,
PI,2204550,Guaribas,0.212,18.706,0.194,2.135,0.077,947,
PI,2204600,Hugo Napoleão,59.071,91.825,7.004,6.318,0.121,933,
PI,2204659,Ilha Grande,43.503,87.503,1.904,4.585,0.329,1754,
PI,2204709,Inhuma,58.974,79.955,7.832,15.405,0.878,3531,
PI,2204808,Ipiranga do Piauí,56.156,84.031,13.269,8.521,0.232,2005,
PI,2204907,Isaías Coelho,22.669,29.536,1.61,5.442,0.048,1723,
PI,2205003,Itainópolis,38.116,49.53,4.413,10.76,0.554,2700,
PI,2205102,Itaueira,45.433,61.095,7.244,10.062,0.257,2538,
PI,2205151,Jacobina do Piauí,16.462,33.889,3.243,32.765,0.314,1328,
PI,2205201,Jaicós,37.968,55.144,4.442,14.019,0.756,3806,
PI,2205250,Jardim do Mulato,35.361,73.437,3.423,6.368,0.047,971,
PI,2205276,Jatobá do Piauí,17.778,50.382,1.141,5.017,0.061,1042,
PI,2205300,Jerumenha,35.622,73.508,13.002,8.758,0.23,1082,
PI,2205359,João Costa,5.521,38.813,1.194,6.704,0.613,657,
PI,2205409,Joaquim Pires,13.638,43.95,2.946,3.485,0.773,2757,
PI,2205458,Joca Marques,4.909,49.241,0.62,2.487,0.226,939,
PI,2205508,José de Freitas,31.558,78.472,5.881,8.954,0.148,6939,
PI,2205516,Juazeiro do Piauí,8.377,42.763,0.625,3.362,0.052,960,
PI,2205524,Júlio Borges,12.967,27.607,1.507,3.913,0.178,1034,
PI,2205532,Jurema,1.275,42.806,1.255,7.312,0.188,955,
PI,2205540,Lagoinha do Piauí,33.874,90.364,2.394,6.318,0.047,563,
PI,2205557,Lagoa Alegre,13.464,65.304,2.504,2.866,0.038,1481,
PI,2205565,Lagoa do Barro do Piauí,11.642,28.033,1.319,8.998,0.433,967,
PI,2205573,Lagoa de São Francisco,3.163,50.154,0.499,3.039,0.036,1244,
PI,2205581,Lagoa do Piauí,17.585,64.043,2.547,3.93,0.066,766,
PI,2205599,Lagoa do Sítio,33.001,65.901,6.266,7.487,0.063,1017,
PI,2205607,Landri Sales,39.692,85.905,11.894,7.609,0.573,1499,
PI,2205706,Luís Correia,30.491,75.284,3.285,5.113,0.462,5245,
PI,2205805,Luzilândia,40.453,70.156,7.379,7.275,0.377,5397,
PI,2205854,Madeiro,8.525,56.22,0.797,1.723,0.198,1350,
PI,2205904,Manoel Emídio,46.719,74.751,9.038,7.519,0.563,1147,
PI,2205953,Marcolândia,10.768,74.557,5.772,13.616,0.383,1475,
PI,2206001,Marcos Parente,46.654,85.602,12.601,8.716,0.19,1064,
PI,2206050,Massapê do Piauí,0.075,25.594,0.123,7.937,0.04,1338,
PI,2206100,Matias Olímpio,20.872,66.173,4.986,3.967,0.282,2138,
PI,2206209,Miguel Alves,12.472,49.236,2.406,4.052,0.293,6210,
PI,2206308,Miguel Leão,21.63,69.727,5.313,6.131,0.129,320,
PI,2206357,Milton Brandão,8.628,41.084,0.393,3.288,0.261,1482,
PI,2206407,Monsenhor Gil,31.188,80.61,3.441,3.714,0.043,2343,
PI,2206506,Monsenhor Hipólito,37.74,48.344,5.475,19.186,0.109,1670,
PI,2206605,Monte Alegre do Piauí,26.373,47.164,3.882,9.056,0.23,2158,
PI,2206654,Morro Cabeça no Tempo,0.22,20.7,1.016,4.796,0.22,916,
PI,2206670,Morro do Chapéu do Piauí,15.764,47.744,2.462,2.914,0.043,1261,
PI,2206696,Murici dos Portelas,4.874,35.338,0.284,2.471,0.036,1272,
PI,2206704,Nazaré do Piauí,24.002,59.06,3.459,3.758,0.078,1936,
PI,2206720,Nazária,,,,,,,
PI,2206753,Nossa Senhora de Nazaré,23.214,61.52,1.313,3.91,0.14,897,
PI,2206803,Nossa Senhora dos Remédios,19.523,52.56,3.025,3.709,0.187,1638,
PI,2206902,Novo Oriente do Piauí,56.778,75.265,5.188,7.214,0.243,1684,
PI,2206951,Novo Santo Antônio,6.573,28.787,0.19,3.714,0.026,721,
PI,2207009,Oeiras,52.078,61.013,13.093,11.7,1.387,8400,
PI,2207108,Olho D'Água do Piauí,41.728,83.58,1.865,4.539,0.047,545,
PI,2207207,Padre Marcos,30.997,52.21,2.119,9.781,0.282,1837,
PI,2207306,Paes Landim,48.533,59.592,7.221,9.124,1.313,894,
PI,2207355,Pajeú do Piauí,33.878,58.318,4.315,9.966,0.435,738,
PI,2207405,Palmeira do Piauí,42.87,57.657,4.27,11.746,0.518,1111,
PI,2207504,Palmeirais,20.222,73.084,3.187,3.998,0.703,2981,
PI,2207553,Paquetá,20.468,50.512,0.34,3.641,0.202,1008,
PI,2207603,Parnaguá,22.526,43.175,4.976,6.747,1.097,1879,
PI,2207702,Parnaíba,68.43,95.472,23.901,17.478,3.078,30426,
PI,2207751,Passagem Franca do Piauí,23.498,68.211,3.229,3.184,0.03,935,
PI,2207777,Patos do Piauí,18.826,36.325,5.045,8.51,0.257,1400,
PI,2207793,Pau D'Arco do Piauí,,,,,,,
PI,2207801,Paulistana,49.85,59.928,7.717,10.925,0.952,4027,
PI,2207850,Pavussu,28.282,47.806,2.007,8.014,0.786,941,
PI,2207900,Pedro II,22.479,72.024,4.407,9.297,0.133,7995,
PI,2207934,Pedro Laurentino,20.141,35.178,1.749,9.861,0.109,430,
PI,2207959,Nova Santa Rita,8.137,19.775,0.803,6.133,0.576,936,
PI,2208007,Picos,74.58,94.343,29.625,18.929,2.916,17407,
PI,2208106,Pimenteiras,34.986,47.439,4.338,6.514,0.961,2554,
PI,2208205,Pio IX,31.366,43.601,3.867,12.792,0.026,3913,
PI,2208304,Piracuruca,53.83,73.47,10.856,7.893,0.335,5848,
PI,2208403,Piripiri,46.499,82.216,8.277,11.948,0.748,14194,
PI,2208502,Porto,25.174,68.989,2.481,1.99,0.341,2161,
PI,2208551,Porto Alegre do Piauí,23.864,78.79,3.587,4.822,0.128,544,
PI,2208601,Prata do Piauí,41.982,74.14,4.737,4.922,0.336,767,
PI,2208650,Queimada Nova,1.763,17.799,0.324,12.055,0.028,1818,
PI,2208700,Redenção do Gurguéia,35.61,64.105,4.819,5.305,0.584,1588,
PI,2208809,Regeneração,36.13,79.555,7.27,5.655,0.3,4345,
PI,2208858,Riacho Frio,22.595,38.969,3.26,6.13,0.748,903,
PI,2208874,Ribeira do Piauí,12.731,37.883,0.799,5.245,0.09,867,
PI,2208908,Ribeiro Gonçalves,50.081,63.061,8.723,6.134,0.5,1244,
PI,2209005,Rio Grande do Piauí,38.703,65.838,7.361,7.009,0.185,1536,
PI,2209104,Santa Cruz do Piauí,58.832,73.535,8.358,8.141,0.732,1374,
PI,2209153,Santa Cruz dos Milagres,42.175,70.722,5.002,6.406,0.082,754,
PI,2209203,Santa Filomena,27.157,44.23,3.956,2.888,0.092,1272,
PI,2209302,Santa Luz,33.365,71.554,8.678,7.823,0.48,1070,
PI,2209351,Santana do Piauí,70.046,77.661,6.099,5.745,0.321,1099,
PI,2209377,Santa Rosa do Piauí,45.667,67.491,7.747,4.808,0.195,1285,
PI,2209401,Santo Antônio de Lisboa,62.832,78.868,9.123,24.124,0.65,1359,
PI,2209450,Santo Antônio dos Milagres,27.5,83.761,1.885,4.416,0.047,406,
PI,2209500,Santo Inácio do Piauí,44.417,62.078,5.28,8.541,0.505,819,
PI,2209559,São Braz do Piauí,0.203,47.606,2.107,5.801,0.329,985,
PI,2209609,São Félix do Piauí,51.351,76.719,8.131,10.677,0.367,855,
PI,2209658,São Francisco de Assis do Piauí,11.887,28.934,0.182,5.455,0.04,824,
PI,2209708,São Francisco do Piauí,25.463,45.236,3.907,3.555,0.469,1570,
PI,2209757,São Gonçalo do Gurguéia,23.092,47.457,1.891,5.398,0.138,514,
PI,2209807,São Gonçalo do Piauí,68.627,94.277,10.944,7.345,0.195,1075,
PI,2209856,São João da Canabrava,55.032,64.16,5.213,7.738,0.112,1089,
PI,2209872,São João da Fronteira,18.367,51.791,2.975,5.139,0.244,1037,
PI,2209906,São João da Serra,34.623,54.696,3.905,3.27,0.054,1553,
PI,2209955,São João da Varjota,39.428,50.983,1.868,5.808,0.629,980,
PI,2209971,São João do Arraial,12.124,55.814,4.262,2.798,0.061,1297,
PI,2210003,São João do Piauí,57.426,76.911,6.897,12.68,0.643,4217,
PI,2210052,São José do Divino,35.415,63.266,3.492,4.152,0.225,1078,
PI,2210102,São José do Peixe,40.137,60.715,4.651,5.364,0.367,881,
PI,2210201,São José do Piauí,39.873,69.391,5.017,10.769,0.555,1580,
PI,2210300,São Julião,34.6,62.793,6.985,15.764,0.902,1479,
PI,2210359,São Lourenço do Piauí,0.638,28.492,3.918,7.59,0.57,1097,
PI,2210375,São Luis do Piauí,36.968,43.837,1.655,10.116,0.125,599,
PI,2210383,São Miguel da Baixa Grande,37.376,65.569,3.096,5.292,0.08,503,
PI,2210391,São Miguel do Fidalgo,19.077,50.952,2.371,6.447,0.734,656,
PI,2210409,São Miguel do Tapuio,25.984,49.257,4.077,5.316,0.605,4376,
PI,2210508,São Pedro do Piauí,42.483,85.537,3.586,7.703,0.139,3062,
PI,2210607,São Raimundo Nonato,34.696,67.88,11.72,17.847,2.29,6699,
PI,2210623,Sebastião Barros,4.316,18.705,0.871,4.41,0.123,960,
PI,2210631,Sebastião Leal,22.414,62.258,2.271,3.572,0.077,878,
PI,2210656,Sigefredo Pacheco,10.195,47.833,1.9,2.676,0.024,2168,
PI,2210706,Simões,26.262,35.462,5.909,11.045,0.373,2958,
PI,2210805,Simplício Mendes,57.731,72.423,6.882,13.54,0.408,2594,
PI,2210904,Socorro do Piauí,29.592,49.347,2.213,7.924,0.217,1089,
PI,2210938,Sussuapara,69.85,80.358,2.794,9.083,0.508,1272,
PI,2210953,Tamboril do Piauí,42.441,42.856,2.455,6.421,0.399,552,
PI,2210979,Tanque do Piauí,24.74,64.166,2.95,5.907,0.519,581,
PI,2211001,Teresina,77.673,98.885,53.91,26.957,8.332,170960,
PI,2211100,União,29.007,88.963,4.444,4.471,0.69,8715,
PI,2211209,Uruçuí,39.044,69.576,12.685,8.826,1.246,3990,
PI,2211308,Valença do Piauí,61.873,88.63,10.464,13.205,0.751,5012,
PI,2211357,Várzea Branca,0,23.433,3.311,4.384,0.502,1141,
PI,2211407,Várzea Grande,39.713,73.911,4.802,7.65,0.153,1256,
PI,2211506,Vera Mendes,27.152,33.698,1.027,8.909,0.43,756,
PI,2211605,Vila Nova do Piauí,1.353,35.788,1.294,13.499,0.124,748,
PI,2211704,Wall Ferraz,25.695,39.087,1.144,3.321,0.095,904,
PR,4100103,Abatiá,94.909,98.676,16.762,34.89,1.657,2299,
PR,4100202,Adrianópolis,76.006,80.205,8.259,17.806,2.755,1878,
PR,4100301,Agudos do Sul,84.086,94.053,15.012,36.924,2.824,1936,
PR,4100400,Almirante Tamandaré,96.374,99.062,19.578,33.823,5.448,23458,
PR,4100459,Altamira do Paraná,71.48,85.095,9.932,21.903,1.871,1707,
PR,4100509,Altônia,97.124,99.718,16.053,40.981,3.332,5682,
PR,4100608,Alto Paraná,97.989,99.575,16.548,35.935,4.453,3608,
PR,4100707,Alto Piquiri,95.766,99.433,14.741,25.692,3.784,3078,
PR,4100806,Alvorada do Sul,96.468,98.234,22.573,35.333,5.898,2519,
PR,4100905,Amaporã,96.88,98.361,15.823,27.226,2.992,1287,
PR,4101002,Ampére,90.389,97.103,17.397,37.159,6.721,4201,
PR,4101051,Anahy,95.542,96.824,17.088,33.27,3.82,841,
PR,4101101,Andirá,96.113,99.806,34.826,39.611,7.189,6223,
PR,4101150,Ângulo,98.315,99.736,18.653,36.236,4.469,834,
PR,4101200,Antonina,94.848,97.233,35.507,17.64,4.521,5096,
PR,4101309,Antônio Olinto,71.926,84.119,8.638,23.862,2.248,2045,
PR,4101408,Apucarana,98.982,99.597,63.385,48.742,10.402,30917,
PR,4101507,Arapongas,99.365,99.705,48.117,54.775,9.656,24454,
PR,4101606,Arapoti,94.512,97.956,15.504,35.949,8.182,6502,
PR,4101655,Arapuã,89.413,94.838,10.9,37.079,1.263,1129,
PR,4101705,Araruna,96.871,98.818,14.277,40.381,3.829,3673,
PR,4101804,Araucária,95.095,99.553,28.069,46.394,7.515,25291,
PR,4101853,Ariranha do Ivaí,88.313,96.608,8.004,40.855,0.803,759,
PR,4101903,Assaí,96.143,99.478,29.925,45.239,9.114,5075,
PR,4102000,Assis Chateaubriand,98.229,99.381,47.739,46.092,8.668,10000,
PR,4102109,Astorga,99.418,99.894,38.486,44.254,8.18,6891,
PR,4102208,Atalaia,99.387,99.848,22.634,41.874,4.551,1151,
PR,4102307,Balsa Nova,85.542,98.338,22.33,48.628,5.736,2831,
PR,4102406,Bandeirantes,95.545,99.087,29.228,42.257,6.241,9430,
PR,4102505,Barbosa Ferraz,94.612,98.044,10.694,26.186,4.733,4044,
PR,4102604,Barracão,87.276,95.505,28.575,38.353,5.733,2526,
PR,4102703,Barra do Jacaré,94.591,99.301,15.338,41.377,2.639,801,
PR,4102752,Bela Vista da Caroba,68.364,90.53,8.526,21.134,1.188,1207,
PR,4102802,Bela Vista do Paraíso,96.514,99.474,19.543,39.731,7.207,4250,
PR,4102901,Bituruna,96.045,91.739,16.678,38.972,5.287,3941,
PR,4103008,Boa Esperança,96.273,99.484,23.629,41.12,4.024,1464,
PR,4103024,Boa Esperança do Iguaçu,82.92,97.019,16.363,41.084,1.541,795,
PR,4103040,Boa Ventura de São Roque,76.439,81.182,5.282,30.375,1.751,1666,
PR,4103057,Boa Vista da Aparecida,92.234,95.707,15.546,32.85,3.167,2312,
PR,4103107,Bocaiúva do Sul,90.258,93.804,13.25,38.346,4.323,2467,
PR,4103156,Bom Jesus do Sul,62.271,74.318,5.013,23.071,0.601,1057,
PR,4103206,Bom Sucesso,97.04,99.558,17.503,32.674,3.814,1728,
PR,4103222,Bom Sucesso do Sul,95.504,98.355,24.673,43.33,2.895,927,
PR,4103305,Borrazópolis,95.092,99.085,16.297,42.617,2.189,2819,
PR,4103354,Braganey,94.934,97.831,16.895,35.066,3.829,1661,
PR,4103370,Brasilândia do Sul,94.231,98.836,12.463,26.921,2.668,1093,
PR,4103404,Cafeara,95.21,99.059,11.615,30.441,2.149,724,
PR,4103453,Cafelândia,99.582,99.768,28.06,46.843,10.286,3114,
PR,4103479,Cafezal do Sul,96.667,98.846,11.642,30.996,2.662,1354,
PR,4103503,Califórnia,98.077,99.197,22.639,46.276,4.357,2212,
PR,4103602,Cambará,96.81,99.803,31.24,43.919,5.716,6547,
PR,4103701,Cambé,98.763,99.874,46.022,45.074,9.202,24558,
PR,4103800,Cambira,97.428,99.164,22.241,47.082,4.36,1874,
PR,4103909,Campina da Lagoa,91.635,97.122,14.999,35.978,2.557,4854,
PR,4103958,Campina do Simão,75.258,81.947,8.937,27.886,1.478,1094,
PR,4104006,Campina Grande do Sul,95.377,98.865,29.937,35.151,5.484,9483,
PR,4104055,Campo Bonito,84.832,94.141,13.785,29.383,1.886,1315,
PR,4104105,Campo do Tenente,81.922,95.738,12.033,29.111,4.259,1605,
PR,4104204,Campo Largo,93.551,97.817,41.095,50.384,10.773,25469,
PR,4104253,Campo Magro,95.296,98.071,37.132,43.235,5.286,5441,
PR,4104303,Campo Mourão,98.053,99.39,35.195,45.435,11.689,23067,
PR,4104402,Cândido de Abreu,67.885,77.661,10.144,24.399,1.532,4944,
PR,4104428,Candói,80.618,84.555,11.265,29.664,1.519,3539,
PR,4104451,Cantagalo,83.809,86.814,10.448,24.373,2.174,3256,
PR,4104501,Capanema,91.291,98.826,20.633,40.233,4.326,5276,
PR,4104600,Capitão Leônidas Marques,96.176,98.423,23.086,36.881,6.353,3992,
PR,4104659,Carambeí,97.213,99.243,28.686,42.767,8.562,3979,
PR,4104709,Carlópolis,91.907,97.725,12.445,33.464,4.381,3829,
PR,4104808,Cascavel,98.268,99.417,65.256,49.282,13.819,68643,
PR,4104907,Castro,88.855,94.064,19.284,35.886,6.495,17173,
PR,4105003,Catanduvas,88.747,94.744,16.652,33.827,4.943,2526,
PR,4105102,Centenário do Sul,91.169,97.802,21.253,29.556,4.538,3442,
PR,4105201,Cerro Azul,79.554,74.53,10.106,19.492,2.051,4387,
PR,4105300,Céu Azul,98.895,99.645,30.895,46.153,7.36,2934,
PR,4105409,Chopinzinho,90.173,91.868,15.421,36.517,4.757,5438,
PR,4105508,Cianorte,98.578,99.914,39.026,49.195,10.288,16713,
PR,4105607,Cidade Gaúcha,98.645,99.948,22.611,35.701,6.073,2677,
PR,4105706,Clevelândia,90.822,96.944,46.444,32.305,4.826,4957,
PR,4105805,Colombo,96.895,99.576,45.379,37.922,6.337,49502,
PR,4105904,Colorado,99.274,99.791,26.215,45.239,6.262,6110,
PR,4106001,Congonhinhas,92.584,97.463,10.13,26.203,2.564,2309,
PR,4106100,Conselheiro Mairinck,70.402,96.052,12.31,20.306,2.59,950,
PR,4106209,Contenda,82.408,94.759,23.838,48.314,4.815,3474,
PR,4106308,Corbélia,98.307,99.229,29.164,43.772,5.425,4408,
PR,4106407,Cornélio Procópio,99.019,99.936,60.329,48.597,12.523,13667,
PR,4106456,Coronel Domingos Soares,66.504,73.145,3.876,20.867,0.45,1721,
PR,4106506,Coronel Vivida,89.977,95.938,18.74,35.712,4.016,6463,
PR,4106555,Corumbataí do Sul,91.167,97.114,7.883,30.503,1.55,1308,
PR,4106571,Cruzeiro do Iguaçu,92.314,97.88,16.142,31.606,3.238,1138,
PR,4106605,Cruzeiro do Oeste,96.718,99.216,17.95,34.568,5.122,6040,
PR,4106704,Cruzeiro do Sul,98.385,99.677,21.526,38.796,3.786,1325,
PR,4106803,Cruz Machado,82.054,88.642,7.934,43.674,1.892,4281,
PR,4106852,Cruzmaltina,93.078,98.497,10.261,35.02,1.38,944,
PR,4106902,Curitiba,99.033,99.906,74.029,56.161,27.777,479341,
PR,4107009,Curiúva,87.582,94.563,6.515,25.373,1.81,3546,
PR,4107108,Diamante do Norte,96.843,99.298,20,35.246,5.684,1686,
PR,4107124,Diamante do Sul,61.614,51.955,6.232,14.758,0.79,921,
PR,4107157,Diamante D'Oeste,86.96,96.869,13.478,30.575,3.15,1280,
PR,4107207,Dois Vizinhos,95.842,98.519,27.238,44.711,8.384,8901,
PR,4107256,Douradina,98.375,99.427,23.929,36.609,4.986,1791,
PR,4107306,Doutor Camargo,99.327,99.955,27.971,41.234,5.162,1785,
PR,4107405,Enéas Marques,90.595,96.956,20.837,40.081,2.469,1693,
PR,4107504,Engenheiro Beltrão,98.013,99.415,27.203,43.239,8.711,4109,
PR,4107520,Esperança Nova,97.568,99.898,16.998,43.749,2.752,658,
PR,4107538,Entre Rios do Oeste,97.349,99.926,37.982,58.574,6.791,947,
PR,4107546,Espigão Alto do Iguaçu,78.923,81.935,11.322,24.59,0.857,1362,
PR,4107553,Farol,89.306,96.379,12.19,29.986,1.784,1066,
PR,4107603,Faxinal,94.007,98.067,21.18,36.684,3.077,4572,
PR,4107652,Fazenda Rio Grande,95.389,99.564,24.664,31.975,3.599,16596,
PR,4107702,Fênix,94.82,98.771,18.942,29.984,5.527,1468,
PR,4107736,Fernandes Pinheiro,63.108,76.751,4.844,23.154,0.892,1591,
PR,4107751,Figueira,94.69,97.596,11.142,28.289,2.224,2609,
PR,4107801,Floraí,98.63,99.954,28.396,45.833,6.286,1611,
PR,4107850,Flor da Serra do Sul,79.779,91.904,10.483,32.99,1.097,1292,
PR,4107900,Floresta,99.526,99.734,25.842,46.854,9.312,1483,
PR,4108007,Florestópolis,92.221,97.629,10.474,27.474,3.909,3340,
PR,4108106,Flórida,99.856,99.661,26.675,42.531,5.582,704,
PR,4108205,Formosa do Oeste,97.137,99.581,20.28,43.507,3.655,2580,
PR,4108304,Foz do Iguaçu,97.953,99.449,66.424,42.022,12.212,71131,
PR,4108320,Francisco Alves,93.444,99.238,17.795,29.914,3.449,1993,
PR,4108403,Francisco Beltrão,96.99,99.395,49.23,46.257,10.163,19284,
PR,4108452,Foz do Jordão,87.111,92.364,20.792,27.842,2.189,1596,
PR,4108502,General Carneiro,91.607,93.72,11.891,30.776,2.958,3558,
PR,4108551,Godoy Moreira,85.794,94.694,6.005,26.235,1.116,1098,
PR,4108601,Goioerê,97.065,99.124,27.485,38.995,9.241,8600,
PR,4108650,Goioxim,66.521,58.155,3.001,21.089,0.878,1905,
PR,4108700,Grandes Rios,91.142,96.458,10.666,30.841,2.444,2149,
PR,4108809,Guaíra,96.93,98.884,22.982,36.649,6.868,8131,
PR,4108908,Guairaçá,97.658,99.264,16.674,33.475,3.625,1629,
PR,4108957,Guamiranga,66.256,81.734,3.818,27.366,0.998,1838,
PR,4109005,Guapirama,93.788,98.598,13.313,28.82,3.568,1146,
PR,4109104,Guaporema,98.68,99.647,19.892,36.559,2.792,610,
PR,4109203,Guaraci,98.235,99.229,20.281,36.702,4.254,1493,
PR,4109302,Guaraniaçu,79.303,89.913,17.935,27.484,4.09,4765,
PR,4109401,Guarapuava,92.27,96.408,43.175,37.871,8.264,42584,
PR,4109500,Guaraqueçaba,81.818,86.331,8.966,6.991,2.213,2147,
PR,4109609,Guaratuba,90.424,96.254,31.072,29.641,4.484,7445,
PR,4109658,Honório Serpa,79.043,89.033,8.873,31.029,1.464,1606,
PR,4109708,Ibaiti,91.788,95.511,19.376,29.528,4.695,7524,
PR,4109757,Ibema,92.338,97.35,16.373,27.291,2.966,1532,
PR,4109807,Ibiporã,98.015,99.7,30.731,45.179,8.941,11903,
PR,4109906,Icaraíma,96.357,99.795,14.661,35.817,3.353,2925,
PR,4110003,Iguaraçu,99.611,99.892,31.112,38.528,5.491,1034,
PR,4110052,Iguatu,91.796,94.291,13.364,29.929,1.55,647,
PR,4110078,Imbaú,84.853,92.46,6.999,23.037,0.676,2638,
PR,4110102,Imbituva,84.506,94.681,6.184,36.358,3.714,6761,
PR,4110201,Inácio Martins,72.488,77.498,7.318,26.183,2.079,2768,
PR,4110300,Inajá,100,99.491,14.146,30.489,3.62,844,
PR,4110409,Indianópolis,98.516,99.737,20.563,39.06,2.315,1216,
PR,4110508,Ipiranga,79.53,93.084,8.01,38.217,1.776,3355,
PR,4110607,Iporã,96.488,99.736,17.639,36.624,5.138,4795,
PR,4110656,Iracema do Oeste,92.823,97.866,12.083,30.689,2.489,840,
PR,4110706,Irati,85.173,95.298,24.964,41.378,5.087,14771,
PR,4110805,Iretama,86.535,92.588,8.896,27.075,3.488,3117,
PR,4110904,Itaguajé,95.767,97.777,14.327,28.594,2.489,1338,
PR,4110953,Itaipulândia,99.148,99.839,29.028,48.377,5.815,1807,
PR,4111001,Itambaracá,91.304,99.59,15.252,32.231,3.402,1963,
PR,4111100,Itambé,99.659,99.669,25.146,42.737,7.66,1760,
PR,4111209,Itapejara d'Oeste,91.342,98.777,19.444,39.666,3.67,2544,
PR,4111258,Itaperuçu,90.209,97.062,5.167,25.719,1.017,5217,
PR,4111308,Itaúna do Sul,98.082,98.877,12.514,23.205,2.501,1199,
PR,4111407,Ivaí,68.298,86.005,8.058,31.76,1.959,3049,
PR,4111506,Ivaiporã,94.796,98.12,23.136,41.109,6.48,9545,
PR,4111555,Ivaté,98.13,99.483,13.561,34.125,3.217,1989,
PR,4111605,Ivatuba,99.734,99.941,30.647,46.664,9.709,1015,
PR,4111704,Jaboti,94.798,99.031,10.757,30.098,2.541,1290,
PR,4111803,Jacarezinho,94.061,99.066,31.073,39.229,9.135,11148,
PR,4111902,Jaguapitã,98.52,99.682,26.989,38.253,4.669,3172,
PR,4112009,Jaguariaíva,94.939,96.151,14.1,34.716,5.86,8673,
PR,4112108,Jandaia do Sul,98.575,99.3,45.699,48.583,8.866,5828,
